"keys","zh_TW","en"
"FAM_SKELETON_BOSS","亡靈光環:周圍骷髏最多可復活兩次,第二次只回復一半生命。","Undead Aura: nearby skeletons rise up to twice, the second time at half health."
"FAM_GOLEM_NAME","石魔族","Stone Golems"
"FAM_GOLEM_MECH","高護甲重甲兵,大幅減免物理傷害,移動緩慢。","Heavily armored and slow, shrugging off most physical damage."
"FAM_GOLEM_BOSS","石化:定期進入短暫無敵狀態。","Petrify: periodically turns to solid stone and becomes untouchable."
"FAM_GHOST_NAME","幽靈族","Wraiths"
"FAM_GHOST_MECH","週期虛化,虛化期間無法被鎖定;高魔抗。","Phases out on a cycle and cannot be targeted while it does; high magic resistance."
"FAM_GHOST_BOSS","疾影:虛化時移動速度更快。","Swiftshade: moves far faster while phased."
"FAM_BAT_NAME","蝠魔族","Batfiends"
"FAM_BAT_MECH","飛行單位,無視地面陷阱與近戰堵路。","Airborne — ignores ground hazards and anything blocking the road."
"FAM_BAT_BOSS","俯衝:定期加速突進。","Dive: periodically accelerates into a sudden lunge."
"FAM_TREANT_NAME","樹妖族","Treants"
"FAM_TREANT_MECH","持續自我回復生命,消耗戰極為棘手。","Regenerates constantly — a nightmare in a war of attrition."
"FAM_TREANT_BOSS","扎根:低血時定身詠唱回復,詠唱期間受到的傷害會抵銷回復量,暈眩可直接打斷。","Take Root: at low health it roots and channels a heal — damage dealt during the cast cancels it point for point, and a stun breaks it outright."
"FAM_BEETLE_NAME","甲蟲族","Beetles"
"FAM_BEETLE_MECH","硬殼:單次所受傷害有上限,懼怕持續傷害。","Hard Shell: caps the damage of any single hit — but it fears damage over time."
"FAM_BEETLE_BOSS","堅甲反震:受到的傷害整體降低。","Ironshell: reduces all incoming damage."
"FAM_CULTIST_NAME","巫教族","Cultists"
"FAM_CULTIST_MECH","光環:持續治療並加速周圍同伴。","Aura: continuously heals and hastens everything around it."
"FAM_CULTIST_BOSS","群療:定期治療全場敵人。","Mass Heal: periodically heals every enemy on the field."
"FAM_SLIME_NAME","史萊姆族","Slimes"
"FAM_SLIME_MECH","陣亡時分裂成兩隻較小的史萊姆。","Splits into two smaller slimes when killed."
"FAM_SLIME_BOSS","增殖:定期分裂出小史萊姆。","Proliferate: keeps spawning smaller slimes on a timer."
"UP_AURAPOWER","聖光強度","Radiant Might"
"BESTIARY_COUNTER","剋制","Counter"
"FAM_CULTIST_COUNTER","巫教族靠治療與加速光環續命。以毒液塔的重傷或劇毒瘴氣削弱其回復,或以磁暴脈衝在暈眩期間直接關閉光環。狙擊塔與導彈塔會優先點名後排的巫師。","Cultists live on their healing and haste auras. Cut the healing with the Venom Tower's Mortal Wound or with Toxic Miasma, or switch the auras off outright by stunning them with an EMP Surge. Sniper Nests and Missile Towers pick the back-rank casters first."
"MIG_HOLY_REFUND","聖光塔已改為全場光環,「光環範圍」升級軸取消。已投入的魔晶 {n} 全數退回。","The Radiance Tower's aura is now field-wide, so the Aura Radius path no longer exists. All {n} crystals spent on it have been refunded."
"EVO_SECTION","進化","Evolution"
"EVO_NEXT_TIER","下一階","Next Tier"
"EVO_TIER_LABEL","第 {n} 階","Tier {n}"
"EVO_BUTTON","進化","Evolve"
"EVO_COST","進化費用","Evolution Cost"
"EVO_REQ_HINT","六條升級軸全部課滿 {max} 級才能進化(目前 {done}/{total})","All upgrade paths must reach level {max} first ({done}/{total} done)"
"EVO_REQ_HINT_SPELL","三條升級軸全部課滿 {max} 級才能進化(目前 {done}/{total})","All upgrade paths must reach level {max} first ({done}/{total} done)"
"EVO_READY_HINT","全部升級軸已滿。進化後基礎能力大幅躍升,並解鎖一個全新機制,升級軸重新開放。","Every path is maxed. Evolving lifts the base numbers far past this tier and unlocks a new mechanic; the upgrade paths reopen from zero."
"EVO_MAXED","已達最高階","Fully evolved"
"EVO_NEW_MECH","新機制","New mechanic"
"TOAST_EVO_NEED","魔晶不足!還差 {n}","Not enough crystals — {n} short"
"TOAST_EVO_LOCKED","升級軸未課滿,未能進化","Max every upgrade path first"
"TOAST_EVO_DONE","進化完成:{name}","Evolved: {name}"
"TOWER_ARROW_T2_NAME","鷹眼塔","Hawkeye Bastion"
"TOWER_ARROW_T2_MECH","雙重射擊變三連;對同一目標連續命中會層層疊加傷害,換目標則歸零。","The double shot becomes a triple, and every consecutive hit on the same target stacks bonus damage — switching targets resets it."
"TOWER_ARROW_T3_NAME","神射殿","Sagittarian Sanctum"
"TOWER_ARROW_T3_MECH","每第五支箭必定暴擊,並貫穿沿途所有敵人。","Every fifth arrow always crits and punches through everything in its line."
"TOWER_CANNON_T2_NAME","雙管砲塔","Twin Bombard"
"TOWER_CANNON_T2_MECH","每發砲彈在落點爆炸兩次,第二次範圍更大。","Every shell detonates twice on impact, the second blast wider than the first."
"TOWER_CANNON_T3_NAME","攻城巨砲","Siege Colossus"
"TOWER_CANNON_T3_MECH","破城彈:爆炸範圍內的敵人永久失去護甲,可疊加。","Breaching shot: everything caught in the blast permanently loses armor, and it stacks."
"TOWER_LIGHTNING_T2_NAME","雷霆之柱","Storm Pillar"
"TOWER_LIGHTNING_T2_MECH","被閃電擊中的敵人成為導體,下一次連鎖必定經過牠並額外增傷。","A struck enemy becomes a conductor: the next chain is guaranteed to route through it and hits harder for doing so."
"TOWER_LIGHTNING_T3_NAME","天罰穹頂","Empyrean Dome"
"TOWER_LIGHTNING_T3_MECH","連鎖結束後在最後一個目標頭頂再降一道落雷,範圍傷害兼麻痺。","When the chain ends, a bolt falls on the last link — area damage and a guaranteed stun."
"TOWER_FIREBALL_T2_NAME","煉獄塔","Infernal Tower"
"TOWER_FIREBALL_T2_MECH","燃燒中的敵人死亡時原地留下一灘餘燼,持續灼燒。","An enemy that dies while burning leaves a pool of embers behind it."
"TOWER_FIREBALL_T3_NAME","炎魔祭壇","Pyre of the Efreet"
"TOWER_FIREBALL_T3_MECH","引爆成功時,爆炸把燃燒狀態傳染給範圍內所有敵人。","A successful detonation spreads the burn to everything inside the blast."
"TOWER_FROST_T2_NAME","極寒塔","Glacial Spire"
"TOWER_FROST_T2_MECH","被減速的敵人累積凍傷層,凍結成立時一次過引爆為真實傷害。","Slowed enemies accumulate frostbite, and a freeze detonates every stack at once as true damage."
"TOWER_FROST_T3_NAME","永冬王座","Throne of Everwinter"
"TOWER_FROST_T3_MECH","射程內的地面永久結冰,經過的敵人自帶額外減速。","The ground inside its range freezes over for good — anything that walks it is slowed on top of everything else."
"TOWER_POISON_T2_NAME","瘟疫塔","Plague Spire"
"TOWER_POISON_T2_MECH","毒層滿的敵人死亡時,把整疊毒層傳染給附近的敵人。","When an enemy dies at full stacks, the whole stack jumps to the nearest bodies."
"TOWER_POISON_T3_NAME","腐化聖殿","Sanctum of Rot"
"TOWER_POISON_T3_MECH","毒素崩解:每滿一定毒層,目標的生命上限永久下降。","Rot: every full load of stacks permanently eats into the target's maximum health."
"TOWER_SNIPER_T2_NAME","鷹巢哨站","Eagle Roost"
"TOWER_SNIPER_T2_MECH","每次命中留下致命標記,標記越多下一發越痛,擊殺時清空。","Each hit leaves a killing mark; the more marks, the harder the next shot lands. A kill wipes them."
"TOWER_SNIPER_T3_NAME","天罰狙擊台","Judgement Perch"
"TOWER_SNIPER_T3_MECH","處決線大幅提高,而且處決成功後下一發必定暴擊。","The execute threshold climbs sharply, and a successful execute guarantees a crit on the next shot."
"TOWER_GATLING_T2_NAME","旋風機炮","Cyclone Repeater"
"TOWER_GATLING_T2_MECH","熱度滿的瞬間釋放一圈環形彈幕,然後熱度減半繼續。","The instant heat maxes out it sprays a ring of fire, then halves the heat and keeps going."
"TOWER_GATLING_T3_NAME","風暴壁壘","Storm Bastion"
"TOWER_GATLING_T3_MECH","換目標不再清空熱度,只減半;熱度同時提升散射機率。","Switching targets no longer dumps the heat, only halves it — and heat now drives the spread chance too."
"TOWER_MORTAR_T2_NAME","重砲陣地","Heavy Battery"
"TOWER_MORTAR_T2_MECH","每次開火發射兩發彈道錯開的砲彈,覆蓋一整條線。","Each shot puts two shells in the air on offset arcs, covering a whole line."
"TOWER_MORTAR_T3_NAME","軌道砲台","Orbital Bastion"
"TOWER_MORTAR_T3_MECH","校射:連續轟同一片區域會層層提升範圍與傷害,換區則歸零。","Ranging: pounding the same patch stacks up both blast size and damage; move the impact and it resets."
"TOWER_BEAM_T2_NAME","稜鏡塔","Prism Tower"
"TOWER_BEAM_T2_MECH","光束擊中後折射到附近另一個敵人身上。","The beam refracts off its target onto whatever stands nearest."
"TOWER_BEAM_T3_NAME","恆星核心","Stellar Core"
"TOWER_BEAM_T3_MECH","蓄能滿後進入爆發模式,短時間內傷害倍增,然後重新蓄能。","Once fully charged it overloads: damage multiplies for a few seconds, then the charge starts again."
"TOWER_SLOWFIELD_T2_NAME","重力井","Gravity Well"
"TOWER_SLOWFIELD_T2_MECH","場內敵人被持續拉向中心,飛行單位同樣受制。","Everything inside is dragged back toward the centre — flyers included."
"TOWER_SLOWFIELD_T3_NAME","時滯領域","Chronal Domain"
"TOWER_SLOWFIELD_T3_MECH","每隔一段時間,場內所有敵人完全定身一瞬。","At intervals the whole field simply stops for a moment."
"TOWER_ALCHEMY_T2_NAME","鑄金坊","Gilded Foundry"
"TOWER_ALCHEMY_T2_MECH","場上每多一座鍊金系塔,產金效率就提升(遞減疊加)。","Every other alchemy tower on the board raises this one's output, with diminishing returns."
"TOWER_ALCHEMY_T3_NAME","賢者之塔","Philosopher's Spire"
"TOWER_ALCHEMY_T3_MECH","射程內的敵人死亡時有機會直接煉成一筆額外橫財。","An enemy dying in range may be transmuted outright into a windfall."
"TOWER_BARRACKS_T2_NAME","要塞營地","Garrison Keep"
"TOWER_BARRACKS_T2_MECH","陣型:士兵互相靠近時同時獲得額外護甲與傷害。","Formation: soldiers standing together gain armor and damage from each other."
"TOWER_BARRACKS_T3_NAME","聖殿騎士團","Templar Order"
"TOWER_BARRACKS_T3_MECH","不屈:士兵陣亡時原地爆發,造成範圍傷害並擊退。","Undying: a fallen soldier detonates where it stood, damaging and throwing back everything around it."
"TOWER_BOOMERANG_T2_NAME","雙刃塔","Twinblade Tower"
"TOWER_BOOMERANG_T2_MECH","同時擲出兩把成夾角的迴旋鏢,交叉點的敵人吃兩次。","Throws two blades on crossing arcs — anything at the intersection takes both."
"TOWER_BOOMERANG_T3_NAME","風暴之輪","Tempest Wheel"
"TOWER_BOOMERANG_T3_MECH","迴旋鏢回程後有機會立即再擲出,不消耗攻速。","A returning blade may be flung straight back out at no cost to the fire rate."
"TOWER_THORN_T2_NAME","食人花巢","Carnivore Nest"
"TOWER_THORN_T2_MECH","纏繞:每次觸發把範圍內最前的敵人短暫定身。","Ensnare: every trigger roots whichever enemy is furthest along the road."
"TOWER_THORN_T3_NAME","世界樹根","Worldroot"
"TOWER_THORN_T3_MECH","根系沿著道路蔓延,覆蓋範圍不再是一個圓而是一整段路。","The roots run along the road itself — the reach stops being a circle and becomes a stretch of path."
"TOWER_MISSILE_T2_NAME","多管火箭","Rocket Array"
"TOWER_MISSILE_T2_MECH","追蹤鎖定:對同一目標連續命中,該目標受到的導彈傷害層層提升。","Lock-on: consecutive hits make the same target take more and more missile damage."
"TOWER_MISSILE_T3_NAME","末日發射井","Doomsday Silo"
"TOWER_MISSILE_T3_MECH","每隔數次齊射改射一枚巨型彈頭,傷害與範圍暴增並必定擊退。","Every few salvos becomes one enormous warhead: far more damage, far wider blast, guaranteed knockback."
"TOWER_CURSE_T2_NAME","夢魘之環","Nightmare Ring"
"TOWER_CURSE_T2_MECH","恐懼:光環內的敵人會定期被嚇退一小段路。","Dread: enemies inside the ring are periodically driven back down the road."
"TOWER_CURSE_T3_NAME","虛空祭壇","Voidspire"
"TOWER_CURSE_T3_MECH","獻祭:光環內的死亡累積虛空能量,滿了就對全場引爆真實傷害。","Sacrifice: kills inside the aura charge the void, and a full charge detonates as true damage across the whole field."
"TOWER_HOLY_T2_NAME","黎明聖壇","Dawn Sanctum"
"TOWER_HOLY_T2_MECH","全場光環額外附帶暴擊率;本塔對支援型敵人造成額外傷害.","The field-wide aura also grants crit chance, and this tower hits support casters harder."
"TOWER_HOLY_T3_NAME","神諭光柱","Oracle Beacon"
"TOWER_HOLY_T3_MECH","復甦之光:定期為全場補回一名陣亡士兵,並清除敵人的加速狀態。","Rekindling: on a timer it restores a fallen soldier anywhere on the field and strips haste off every enemy."
"TOWER_MAGNET_T2_NAME","斥力核心","Repulsor Core"
"TOWER_MAGNET_T2_MECH","磁軌:被推撞的敵人互相碰撞,擠得越密傷害越高。","Railslam: shoved enemies collide with each other — the tighter the crowd, the more it hurts."
"TOWER_MAGNET_T3_NAME","極性風暴","Polar Storm"
"TOWER_MAGNET_T3_MECH","極性反轉:每隔幾次脈衝改為吸引,把敵人拉成一團。","Polarity flip: every few pulses it pulls instead of pushes, packing the enemy into one heap."
"TOWER_TELEPORT_T2_NAME","空間裂隙","Rift Gate"
"TOWER_TELEPORT_T2_MECH","回溯:傳送成功時清除目標身上的所有增益。","Rewind: a successful warp strips every buff off the target."
"TOWER_TELEPORT_T3_NAME","時空樞紐","Nexus of Aeons"
"TOWER_TELEPORT_T3_MECH","放逐:有機會把非 boss 敵人直接送回起點,次數有上限。","Banish: a chance to send a non-boss enemy all the way back to the start, up to a limit."
"SPELL_METEOR_T2_NAME","隕石風暴","Meteor Storm"
"SPELL_METEOR_T2_MECH","主隕石之後跟著三顆小隕石落下。","Three smaller rocks follow the main impact down."
"SPELL_METEOR_T3_NAME","天隕滅世","Cataclysm"
"SPELL_METEOR_T3_MECH","著彈點留下一片熔岩地帶,持續灼燒經過的一切。","The impact leaves a lava field burning everything that crosses it."
"SPELL_STORMBOLT_T2_NAME","雷神之怒","Wrath of Thunder"
"SPELL_STORMBOLT_T2_MECH","每一道閃電在落點小範圍濺射。","Every bolt splashes over a small area where it lands."
"SPELL_STORMBOLT_T3_NAME","萬雷天罰","Skyfall Judgement"
"SPELL_STORMBOLT_T3_MECH","被雷擊中的敵人在數秒內承受的所有傷害都被放大。","Anything struck takes amplified damage from every source for several seconds."
"SPELL_FREEZENOVA_T2_NAME","絕對零度","Absolute Zero"
"SPELL_FREEZENOVA_T2_MECH","凍結期間的敵人承受的傷害大幅提高。","Frozen enemies take substantially more damage."
"SPELL_FREEZENOVA_T3_NAME","永凍紀元","Age of Ice"
"SPELL_FREEZENOVA_T3_MECH","解凍後留下一片冰原,繼續拖慢走過的敵人。","The thaw leaves an ice field that keeps slowing whatever walks it."
"SPELL_MIASMA_T2_NAME","腐蝕之霧","Corrosive Fog"
"SPELL_MIASMA_T2_MECH","霧中的敵人護甲被持續腐蝕。","Armor corrodes away on anything standing in the fog."
"SPELL_MIASMA_T3_NAME","瘟疫爆發","Pandemic"
"SPELL_MIASMA_T3_MECH","在霧中死亡的敵人會再生出一團小型毒雲。","An enemy that dies inside the cloud seeds a smaller one where it fell."
"SPELL_SUMMON_T2_NAME","召喚聖騎","Summon Paladins"
"SPELL_SUMMON_T2_MECH","召喚出來的單位帶著護盾,可擋下第一次致命傷。","The summoned come shielded and survive the first killing blow."
"SPELL_SUMMON_T3_NAME","英靈殿軍","Einherjar Host"
"SPELL_SUMMON_T3_MECH","陣亡時爆炸,並把剩餘時間分給其餘同袍。","One that falls explodes, and hands its remaining time to the others."
"SPELL_MIDAS_T2_NAME","黃金洪流","Golden Tide"
"SPELL_MIDAS_T2_MECH","除了即時金幣,一段時間內所有擊殺額外掉金。","On top of the lump sum, every kill for a while pays extra."
"SPELL_MIDAS_T3_NAME","邁達斯權柄","Midas Dominion"
"SPELL_MIDAS_T3_MECH","效果期間敵人每被打中一次就掉一點金。","While it holds, enemies shed gold every time they are hit."
"SPELL_TIMEWARP_T2_NAME","時之枷鎖","Chrono Shackles"
"SPELL_TIMEWARP_T2_MECH","減速期間敵人的技能節奏一併被拖慢,boss 也不例外。","Enemy ability timers drag as well as their feet — bosses included."
"SPELL_TIMEWARP_T3_NAME","時光倒流","Rewind"
"SPELL_TIMEWARP_T3_MECH","施放瞬間,全場敵人退回數秒前的位置。","On cast, every enemy snaps back to where it stood seconds ago."
"SPELL_WARCRY_T2_NAME","軍團號令","Legion Command"
"SPELL_WARCRY_T2_MECH","除了攻速,全場塔同時獲得攻擊力加成。","Attack power rises alongside the fire rate, on every tower."
"SPELL_WARCRY_T3_NAME","戰神降臨","Avatar of War"
"SPELL_WARCRY_T3_MECH","期間所有塔的攻擊附帶真實傷害濺射。","While it lasts every tower's shots splash true damage."
"SPELL_BARRIER_T2_NAME","聖域屏障","Sanctuary Ward"
"SPELL_BARRIER_T2_MECH","結界存在期間,基地附近的敵人持續受到傷害。","While the ward stands, anything near the keep is burned down."
"SPELL_BARRIER_T3_NAME","不滅堡壘","Immortal Bulwark"
"SPELL_BARRIER_T3_MECH","每擋下一名敵人就回復一層結界,直到上限。","Every enemy it blocks gives a charge back, up to a ceiling."
"SPELL_TORNADO_T2_NAME","颶風之眼","Eye of the Storm"
"SPELL_TORNADO_T2_MECH","龍捲風原地停留數秒,持續推回進入的敵人。","The funnel stays put for a few seconds, shoving back anything that enters."
"SPELL_TORNADO_T3_NAME","天災風暴","Cataclysmic Gale"
"SPELL_TORNADO_T3_MECH","被吹飛的敵人落地時承受一筆按生命上限計算的真實傷害。","Whatever it throws takes true damage scaled to its own maximum health on landing."
"SPELL_QUAKE_T2_NAME","大地撕裂","Tectonic Rift"
"SPELL_QUAKE_T2_MECH","地面裂開,數秒內經過的地面單位被大幅拖慢。","The ground splits open and drags at every grounded unit that crosses it."
"SPELL_QUAKE_T3_NAME","世界崩塌","World Shatter"
"SPELL_QUAKE_T3_MECH","地面單位被震暈,飛行單位被震落地面。","Grounded units are stunned outright, and flyers are shaken out of the air."
"SPELL_FIREWALL_T2_NAME","煉獄之牆","Infernal Wall"
"SPELL_FIREWALL_T2_MECH","火牆會沿著道路向前推進一段距離。","The wall advances along the road instead of standing still."
"SPELL_FIREWALL_T3_NAME","不熄業火","Everburning Pyre"
"SPELL_FIREWALL_T3_MECH","每有敵人死在火牆裡,火牆就燒得更久。","Every enemy that dies in the flames makes them burn longer."
"SPELL_SMITE_T2_NAME","神罰之矛","Spear of Judgement"
"SPELL_SMITE_T2_MECH","對支援型單位(巫師、大祭司)的傷害再大幅提升。","Damage against support casters climbs sharply again."
"SPELL_SMITE_T3_NAME","審判日","Day of Reckoning"
"SPELL_SMITE_T3_MECH","目標死亡時,溢出的傷害轉移到最近的另一個敵人身上。","When the target dies, the overkill jumps to whatever stands nearest."
"SPELL_EMP_T2_NAME","癱瘓脈衝","Paralysis Pulse"
"SPELL_EMP_T2_MECH","暈眩範圍與時間大幅延長,光環封鎖同步加長。","Both the radius and the duration of the silence climb sharply."
"SPELL_EMP_T3_NAME","系統崩潰","Total Blackout"
"SPELL_EMP_T3_MECH","範圍內敵人的增益全被清除,並且一段時間內無法再獲得。","Every buff inside is wiped, and nothing there can be buffed again for a while."
"SPELL_BLACKHOLE_T2_NAME","奇點","Singularity"
"SPELL_BLACKHOLE_T2_MECH","吸力更強,被困住的敵人受到的傷害逐秒遞增。","It pulls harder, and damage on anything trapped climbs the longer it is held."
"SPELL_BLACKHOLE_T3_NAME","事件視界","Event Horizon"
"SPELL_BLACKHOLE_T3_MECH","結束時內爆,把整段時間累積的傷害再打一次。","On collapse it implodes, dealing a share of everything it absorbed all over again."
"CRASH_TITLE","上一次係閃退","Last session crashed"
"CRASH_LEAD","遊戲上次冇正常收場。下面係閃退之前嘅記錄,撳「複製」就可以整段貼出嚟報告。你嘅進度已經儲存,唔會有嘢唔見咗。","The game did not shut down normally last time. Below is what it was doing just before. Tap Copy to paste the whole report into a bug report. Your progress was saved and nothing was lost."
"CRASH_MEMORY","記憶體趨勢","Memory trend"
"CRASH_MEMORY_NONE","今次冇夠採樣點畫趨勢(閃退發生喺開場三十秒內)。","Not enough samples to plot a trend — the crash happened within the first 30 seconds."
"CRASH_MEMORY_RANGE","{first} MB → {last} MB(最高 {peak} MB)","{first} MB → {last} MB (peak {peak} MB)"
"CRASH_COPY","複製報告","Copy report"
"CRASH_COPIED","已複製","Copied"
"CRASH_CONTINUE","繼續遊戲","Continue"
"UPG_SCALE_LEGEND","刻度橫跨三個階級:底色三段分別係第一/二/三階課滿嘅範圍,深色界線就係進化門檻。","The scale spans all three tiers: the three shaded bands are what tier I, II and III reach fully upgraded, and the dark ticks are the evolution thresholds."
"BESTIARY_TAB_MONSTER","怪物","Monsters"
"BESTIARY_TAB_TOWER","塔","Towers"
"BESTIARY_TAB_SPELL","魔法","Spells"
"BESTIARY_EVO_LOCKED","進化後解鎖","Evolve to unlock"
"BESTIARY_NOT_OWNED","未解鎖 —— 喺商店買咗先睇得到數值","Not unlocked — buy it in the shop to see its numbers"
"BESTIARY_GOTO_UPGRADE","撳一下去升級介面","Tap to open its upgrade page"
"BESTIARY_AXES_DONE","升級軸已滿 {done}/{total}","{done}/{total} axes maxed"
"BESTIARY_SHOP_LOCKED","商店解鎖","Buy in the shop"
